system:time_start,chlor_a
"Jan 1, 2003",1.774
"Feb 1, 2003",1.423
"Mar 1, 2003",3.36
"Apr 1, 2003",3.179
"May 1, 2003",2.041
"Jun 1, 2003",1.164
"Jul 1, 2003",0.647
"Aug 1, 2003",0.473
"Sep 1, 2003",0.581
"Oct 1, 2003",0.708
"Nov 1, 2003",1.789
"Dec 1, 2003",2.018
"Jan 1, 2004",1.4
"Feb 1, 2004",1.533
"Mar 1, 2004",2.784
"Apr 1, 2004",2.747
"May 1, 2004",1.27
"Jun 1, 2004",0.866
"Jul 1, 2004",0.551
"Aug 1, 2004",0.518
"Sep 1, 2004",0.638
"Oct 1, 2004",0.939
"Nov 1, 2004",1.418
"Dec 1, 2004",1.048
"Jan 1, 2005",1.507
"Feb 1, 2005",1.389
"Mar 1, 2005",2.948
"Apr 1, 2005",2.119
"May 1, 2005",1.354
"Jun 1, 2005",0.878
"Jul 1, 2005",0.468
"Aug 1, 2005",0.482
"Sep 1, 2005",0.527
"Oct 1, 2005",1.176
"Nov 1, 2005",1.317
"Dec 1, 2005",1.502
"Jan 1, 2006",1.653
"Feb 1, 2006",2.498
"Mar 1, 2006",2.083
"Apr 1, 2006",2.839
"May 1, 2006",1.898
"Jun 1, 2006",0.755
"Jul 1, 2006",0.503
"Aug 1, 2006",0.533
"Sep 1, 2006",0.628
"Oct 1, 2006",1.271
"Nov 1, 2006",1.211
"Dec 1, 2006",1.258
"Jan 1, 2007",1.461
"Feb 1, 2007",2.162
"Mar 1, 2007",2.88
"Apr 1, 2007",2.479
"May 1, 2007",2.444
"Jun 1, 2007",0.927
"Jul 1, 2007",0.628
"Aug 1, 2007",0.484
"Sep 1, 2007",0.633
"Oct 1, 2007",1.539
"Nov 1, 2007",1.604
"Dec 1, 2007",1.227
"Jan 1, 2008",1.643
"Feb 1, 2008",2.707
"Mar 1, 2008",3.724
"Apr 1, 2008",2.965
"May 1, 2008",3.175
"Jun 1, 2008",1.825
"Jul 1, 2008",0.74
"Aug 1, 2008",0.584
"Sep 1, 2008",0.535
"Oct 1, 2008",1.456
"Nov 1, 2008",1.323
"Dec 1, 2008",1.308
"Jan 1, 2009",1.693
"Feb 1, 2009",1.856
"Mar 1, 2009",5.108
"Apr 1, 2009",3.546
"May 1, 2009",1.482
"Jun 1, 2009",0.839
"Jul 1, 2009",0.505
"Aug 1, 2009",0.462
"Sep 1, 2009",0.609
"Oct 1, 2009",1.21
"Nov 1, 2009",1.346
"Dec 1, 2009",1.234
"Jan 1, 2010",1.595
"Feb 1, 2010",2.856
"Mar 1, 2010",3.639
"Apr 1, 2010",3.616
"May 1, 2010",1.394
"Jun 1, 2010",0.731
"Jul 1, 2010",0.524
"Aug 1, 2010",0.521
"Sep 1, 2010",0.606
"Oct 1, 2010",1.188
"Nov 1, 2010",1.38
"Dec 1, 2010",1.825
"Jan 1, 2011",1.431
