system:time_start,sst
"Jan 1, 2003",18.957
"Feb 1, 2003",18.14
"Mar 1, 2003",19.031
"Apr 1, 2003",20.297
"May 1, 2003",23.565
"Jun 1, 2003",26.312
"Jul 1, 2003",28.852
"Aug 1, 2003",31.331
"Sep 1, 2003",30.885
"Oct 1, 2003",28.962
"Nov 1, 2003",24.495
"Dec 1, 2003",19.971
"Jan 1, 2004",17.431
"Feb 1, 2004",16.906
"Mar 1, 2004",19.244
"Apr 1, 2004",21.008
"May 1, 2004",24.582
"Jun 1, 2004",26.719
"Jul 1, 2004",29.412
"Aug 1, 2004",30.89
"Sep 1, 2004",30.211
"Oct 1, 2004",27.041
"Nov 1, 2004",22.75
"Dec 1, 2004",19.652
"Jan 1, 2005",17.601
"Feb 1, 2005",17.727
"Mar 1, 2005",18.561
"Apr 1, 2005",20.456
"May 1, 2005",23.352
"Jun 1, 2005",27.22
"Jul 1, 2005",29.695
"Aug 1, 2005",31.272
"Sep 1, 2005",31.237
"Oct 1, 2005",27.556
"Nov 1, 2005",23.483
"Dec 1, 2005",19.567
"Jan 1, 2006",17.63
"Feb 1, 2006",17.892
"Mar 1, 2006",17.665
"Apr 1, 2006",20.193
"May 1, 2006",23.762
"Jun 1, 2006",27.346
"Jul 1, 2006",30.703
"Aug 1, 2006",31.219
"Sep 1, 2006",30.44
"Oct 1, 2006",27.825
"Nov 1, 2006",24.089
"Dec 1, 2006",19.681
"Jan 1, 2007",17.017
"Feb 1, 2007",17.153
"Mar 1, 2007",18.897
"Apr 1, 2007",20.207
"May 1, 2007",23.295
"Jun 1, 2007",27.093
"Jul 1, 2007",28.999
"Aug 1, 2007",30.701
"Sep 1, 2007",30.49
"Oct 1, 2007",26.948
"Nov 1, 2007",23.717
"Dec 1, 2007",18.79
"Jan 1, 2008",16.205
"Feb 1, 2008",16.385
"Mar 1, 2008",18.303
"Apr 1, 2008",20.863
"May 1, 2008",22.373
"Jun 1, 2008",26.692
"Jul 1, 2008",29.632
"Aug 1, 2008",30.733
"Sep 1, 2008",31.435
"Oct 1, 2008",28.461
"Nov 1, 2008",24.059
"Dec 1, 2008",19.686
"Jan 1, 2009",17.697
"Feb 1, 2009",17.147
"Mar 1, 2009",19.016
"Apr 1, 2009",19.969
"May 1, 2009",24.996
"Jun 1, 2009",26.153
"Jul 1, 2009",29.808
"Aug 1, 2009",31.053
"Sep 1, 2009",30.994
"Oct 1, 2009",27.507
"Nov 1, 2009",23.672
"Dec 1, 2009",20.033
"Jan 1, 2010",18.115
"Feb 1, 2010",18.083
"Mar 1, 2010",18.659
"Apr 1, 2010",20.121
"May 1, 2010",23.282
"Jun 1, 2010",26.117
"Jul 1, 2010",28.834
"Aug 1, 2010",30.902
"Sep 1, 2010",30.303
"Oct 1, 2010",28.204
"Nov 1, 2010",22.586
"Dec 1, 2010",18.551
"Jan 1, 2011",16.901
"Feb 1, 2011",16.557
"Mar 1, 2011",17.877
"Apr 1, 2011",20.279
"May 1, 2011",22.504
"Jun 1, 2011",26.187
"Jul 1, 2011",29.673
"Aug 1, 2011",31.246
"Sep 1, 2011",31.092
"Oct 1, 2011",28.122
"Nov 1, 2011",23.269
"Dec 1, 2011",18.578
"Jan 1, 2012",17.267
"Feb 1, 2012",17.234
"Mar 1, 2012",17.821
"Apr 1, 2012",20.534
"May 1, 2012",24.848
"Jun 1, 2012",27.284
"Jul 1, 2012",29.891
"Aug 1, 2012",31.558
"Sep 1, 2012",31.642
"Oct 1, 2012",28.808
"Nov 1, 2012",24.428
"Dec 1, 2012",20.958
"Jan 1, 2013",17.301
"Feb 1, 2013",17.078
"Mar 1, 2013",18.894
"Apr 1, 2013",20.629
"May 1, 2013",22.992
"Jun 1, 2013",26.732
"Jul 1, 2013",30.037
"Aug 1, 2013",30.935
"Sep 1, 2013",31.246
"Oct 1, 2013",26.646
"Nov 1, 2013",23.316
"Dec 1, 2013",19.435
"Jan 1, 2014",18.18
"Feb 1, 2014",18.498
"Mar 1, 2014",20.635
"Apr 1, 2014",21.803
"May 1, 2014",23.623
"Jun 1, 2014",28.412
"Jul 1, 2014",31.06
"Aug 1, 2014",31.516
"Sep 1, 2014",31.232
"Oct 1, 2014",28.817
"Nov 1, 2014",24.776
"Dec 1, 2014",20.676
"Jan 1, 2015",18.493
"Feb 1, 2015",19.164
"Mar 1, 2015",20.63
"Apr 1, 2015",22.077
"May 1, 2015",22.948
"Jun 1, 2015",26.843
"Jul 1, 2015",29.851
"Aug 1, 2015",31.823
"Sep 1, 2015",31.477
"Oct 1, 2015",29.342
"Nov 1, 2015",24.766
"Dec 1, 2015",20.402
"Jan 1, 2016",18.586
"Feb 1, 2016",18.892
"Mar 1, 2016",20.248
"Apr 1, 2016",21.674
"May 1, 2016",23.129
"Jun 1, 2016",26.713
"Jul 1, 2016",29.581
"Aug 1, 2016",30.713
"Sep 1, 2016",30.305
"Oct 1, 2016",28.318
"Nov 1, 2016",24.736
"Dec 1, 2016",19.771
"Jan 1, 2017",17.409
"Feb 1, 2017",17.742
"Mar 1, 2017",19.884
"Apr 1, 2017",21.892
"May 1, 2017",22.854
"Jun 1, 2017",26.458
"Jul 1, 2017",29.804
"Aug 1, 2017",31.668
"Sep 1, 2017",30.265
"Oct 1, 2017",27.397
"Nov 1, 2017",24.971
"Dec 1, 2017",20.196
"Jan 1, 2018",18.692
"Feb 1, 2018",18.223
"Mar 1, 2018",18.626
"Apr 1, 2018",21.116
"May 1, 2018",23.331
"Jun 1, 2018",26.4
"Jul 1, 2018",30.003
"Aug 1, 2018",31.656
"Sep 1, 2018",31.166
"Oct 1, 2018",27.723
"Nov 1, 2018",23.614
"Dec 1, 2018",19.805
"Jan 1, 2019",18.062
"Feb 1, 2019",17.668
"Mar 1, 2019",18.721
"Apr 1, 2019",20.798
"May 1, 2019",22.27
"Jun 1, 2019",25.803
"Jul 1, 2019",29.269
"Aug 1, 2019",31.316
"Sep 1, 2019",30.519
"Oct 1, 2019",27.863
"Nov 1, 2019",23.281
"Dec 1, 2019",
