system:time_start,sst
"Jan 1, 2003",17.913
"Feb 1, 2003",17.305
"Mar 1, 2003",16.413
"Apr 1, 2003",16.061
"May 1, 2003",15.518
"Jun 1, 2003",16.014
"Jul 1, 2003",19.625
"Aug 1, 2003",20.318
"Sep 1, 2003",21.861
"Oct 1, 2003",21.183
"Nov 1, 2003",19.23
"Dec 1, 2003",17.719
"Jan 1, 2004",16.556
"Feb 1, 2004",16.18
"Mar 1, 2004",16.055
"Apr 1, 2004",16.209
"May 1, 2004",17.029
"Jun 1, 2004",17.555
"Jul 1, 2004",19.157
"Aug 1, 2004",20.167
"Sep 1, 2004",22.017
"Oct 1, 2004",20.355
"Nov 1, 2004",18.895
"Dec 1, 2004",17.424
"Jan 1, 2005",17.331
"Feb 1, 2005",17.125
"Mar 1, 2005",16.336
"Apr 1, 2005",16.042
"May 1, 2005",16.34
"Jun 1, 2005",16.941
"Jul 1, 2005",20.022
"Aug 1, 2005",20.261
"Sep 1, 2005",20.177
"Oct 1, 2005",20.112
"Nov 1, 2005",19.248
"Dec 1, 2005",17.582
"Jan 1, 2006",16.472
"Feb 1, 2006",16.149
"Mar 1, 2006",14.919
"Apr 1, 2006",15.837
"May 1, 2006",17.725
"Jun 1, 2006",19.032
"Jul 1, 2006",21.379
"Aug 1, 2006",21.435
"Sep 1, 2006",22.448
"Oct 1, 2006",20.577
"Nov 1, 2006",20.441
"Dec 1, 2006",18.918
"Jan 1, 2007",17.491
"Feb 1, 2007",16.297
"Mar 1, 2007",15.958
"Apr 1, 2007",15.411
"May 1, 2007",16.118
"Jun 1, 2007",16.253
"Jul 1, 2007",19.363
"Aug 1, 2007",20.47
"Sep 1, 2007",20.473
"Oct 1, 2007",19.288
"Nov 1, 2007",17.488
"Dec 1, 2007",16.709
"Jan 1, 2008",15.893
"Feb 1, 2008",15.297
"Mar 1, 2008",15.627
"Apr 1, 2008",15.198
"May 1, 2008",16.123
"Jun 1, 2008",16.73
"Jul 1, 2008",19.886
"Aug 1, 2008",21.041
"Sep 1, 2008",21.082
"Oct 1, 2008",22.065
"Nov 1, 2008",20.64
"Dec 1, 2008",18.385
"Jan 1, 2009",17.79
"Feb 1, 2009",16.662
"Mar 1, 2009",15.499
"Apr 1, 2009",15.646
"May 1, 2009",15.683
"Jun 1, 2009",17.406
"Jul 1, 2009",19.586
"Aug 1, 2009",19.543
"Sep 1, 2009",22.045
"Oct 1, 2009",21.055
"Nov 1, 2009",19.958
"Dec 1, 2009",18.689
"Jan 1, 2010",18.428
"Feb 1, 2010",17.332
"Mar 1, 2010",16.222
"Apr 1, 2010",16.127
"May 1, 2010",15.556
"Jun 1, 2010",16.624
"Jul 1, 2010",17.382
"Aug 1, 2010",18.406
"Sep 1, 2010",18.712
"Oct 1, 2010",18.177
"Nov 1, 2010",17.211
"Dec 1, 2010",15.353
"Jan 1, 2011",15.886
"Feb 1, 2011",15.238
"Mar 1, 2011",14.651
"Apr 1, 2011",15.011
"May 1, 2011",15.408
"Jun 1, 2011",15.307
"Jul 1, 2011",18.579
"Aug 1, 2011",19.308
"Sep 1, 2011",19.801
"Oct 1, 2011",19.145
"Nov 1, 2011",18.547
"Dec 1, 2011",17.082
"Jan 1, 2012",16.859
"Feb 1, 2012",16.138
"Mar 1, 2012",15.685
"Apr 1, 2012",15.885
"May 1, 2012",15.811
"Jun 1, 2012",16.827
"Jul 1, 2012",18.208
"Aug 1, 2012",20.897
"Sep 1, 2012",24.292
"Oct 1, 2012",23.414
"Nov 1, 2012",20.629
"Dec 1, 2012",18.007
"Jan 1, 2013",16.162
"Feb 1, 2013",15.538
"Mar 1, 2013",15.776
"Apr 1, 2013",16.69
"May 1, 2013",17.345
"Jun 1, 2013",17.702
"Jul 1, 2013",19.641
"Aug 1, 2013",19.32
"Sep 1, 2013",21.416
"Oct 1, 2013",20.288
"Nov 1, 2013",19.667
"Dec 1, 2013",18.339
"Jan 1, 2014",18.275
"Feb 1, 2014",17.054
"Mar 1, 2014",17.299
"Apr 1, 2014",16.541
"May 1, 2014",17.913
"Jun 1, 2014",18.68
"Jul 1, 2014",21.113
"Aug 1, 2014",22.722
"Sep 1, 2014",24.113
"Oct 1, 2014",24.2
"Nov 1, 2014",21.939
"Dec 1, 2014",20.198
"Jan 1, 2015",19.145
"Feb 1, 2015",18.599
"Mar 1, 2015",19.2
"Apr 1, 2015",18.069
"May 1, 2015",17.886
"Jun 1, 2015",18.836
"Jul 1, 2015",21.18
"Aug 1, 2015",22.51
"Sep 1, 2015",24.627
"Oct 1, 2015",24.725
"Nov 1, 2015",23.185
"Dec 1, 2015",21.201
"Jan 1, 2016",19.068
"Feb 1, 2016",18.606
"Mar 1, 2016",17.265
"Apr 1, 2016",17.992
"May 1, 2016",17.521
"Jun 1, 2016",18.516
"Jul 1, 2016",20.439
"Aug 1, 2016",21.194
"Sep 1, 2016",20.492
"Oct 1, 2016",20.483
"Nov 1, 2016",19.811
"Dec 1, 2016",17.63
"Jan 1, 2017",16.878
"Feb 1, 2017",16.211
"Mar 1, 2017",16.382
"Apr 1, 2017",16.519
"May 1, 2017",16.761
"Jun 1, 2017",17.881
"Jul 1, 2017",21.316
"Aug 1, 2017",20.866
"Sep 1, 2017",21.063
"Oct 1, 2017",21.564
"Nov 1, 2017",20.415
"Dec 1, 2017",19.105
"Jan 1, 2018",19.054
"Feb 1, 2018",17.959
"Mar 1, 2018",16.344
"Apr 1, 2018",15.881
"May 1, 2018",16.495
"Jun 1, 2018",17.54
"Jul 1, 2018",21.141
"Aug 1, 2018",23.074
"Sep 1, 2018",21.836
"Oct 1, 2018",21.584
"Nov 1, 2018",20.572
"Dec 1, 2018",18.955
"Jan 1, 2019",18.032
"Feb 1, 2019",16.761
"Mar 1, 2019",16.709
"Apr 1, 2019",17.001
"May 1, 2019",17.127
"Jun 1, 2019",18.798
"Jul 1, 2019",20.015
"Aug 1, 2019",20.4
"Sep 1, 2019",21.434
"Oct 1, 2019",21.17
"Nov 1, 2019",20.425
"Dec 1, 2019",
