system:time_start,chlor_a
"Jan 1, 2003",0.528
"Feb 1, 2003",0.363
"Mar 1, 2003",1.673
"Apr 1, 2003",4.398
"May 1, 2003",5.719
"Jun 1, 2003",3.431
"Jul 1, 2003",1.817
"Aug 1, 2003",3.359
"Sep 1, 2003",0.79
"Oct 1, 2003",0.419
"Nov 1, 2003",0.432
"Dec 1, 2003",0.462
"Jan 1, 2004",0.45
"Feb 1, 2004",0.613
"Mar 1, 2004",1.037
"Apr 1, 2004",3.104
"May 1, 2004",1.496
"Jun 1, 2004",1.375
"Jul 1, 2004",0.828
"Aug 1, 2004",0.474
"Sep 1, 2004",0.421
"Oct 1, 2004",0.469
"Nov 1, 2004",0.952
"Dec 1, 2004",0.705
"Jan 1, 2005",0.453
"Feb 1, 2005",0.356
"Mar 1, 2005",1.81
"Apr 1, 2005",6.544
"May 1, 2005",3.059
"Jun 1, 2005",2.09
"Jul 1, 2005",1.915
"Aug 1, 2005",1.523
"Sep 1, 2005",0.938
"Oct 1, 2005",0.572
"Nov 1, 2005",0.734
"Dec 1, 2005",0.815
"Jan 1, 2006",1.651
"Feb 1, 2006",1.302
"Mar 1, 2006",4.863
"Apr 1, 2006",2.905
"May 1, 2006",0.698
"Jun 1, 2006",0.762
"Jul 1, 2006",0.57
"Aug 1, 2006",0.547
"Sep 1, 2006",0.358
"Oct 1, 2006",0.41
"Nov 1, 2006",0.349
"Dec 1, 2006",0.549
"Jan 1, 2007",0.597
"Feb 1, 2007",0.62
"Mar 1, 2007",1.584
"Apr 1, 2007",4.772
"May 1, 2007",1.808
"Jun 1, 2007",2.441
"Jul 1, 2007",0.506
"Aug 1, 2007",0.369
"Sep 1, 2007",0.569
"Oct 1, 2007",1.053
"Nov 1, 2007",0.634
"Dec 1, 2007",1.182
"Jan 1, 2008",1.2
"Feb 1, 2008",1.934
"Mar 1, 2008",3.911
"Apr 1, 2008",5.517
"May 1, 2008",2.082
"Jun 1, 2008",3.188
"Jul 1, 2008",0.612
"Aug 1, 2008",0.437
"Sep 1, 2008",0.352
"Oct 1, 2008",0.319
"Nov 1, 2008",0.377
"Dec 1, 2008",0.628
"Jan 1, 2009",0.623
"Feb 1, 2009",0.911
"Mar 1, 2009",5.066
"Apr 1, 2009",3.443
"May 1, 2009",2.465
"Jun 1, 2009",1.047
"Jul 1, 2009",0.475
"Aug 1, 2009",0.58
"Sep 1, 2009",0.237
"Oct 1, 2009",0.294
"Nov 1, 2009",0.315
"Dec 1, 2009",0.481
"Jan 1, 2010",0.49
"Feb 1, 2010",0.682
"Mar 1, 2010",2.759
"Apr 1, 2010",1.551
"May 1, 2010",2.083
"Jun 1, 2010",1.159
"Jul 1, 2010",0.923
"Aug 1, 2010",1.171
"Sep 1, 2010",0.762
"Oct 1, 2010",0.696
"Nov 1, 2010",1.096
"Dec 1, 2010",0.953
"Jan 1, 2011",1.198
"Feb 1, 2011",3.079
"Mar 1, 2011",6.248
"Apr 1, 2011",4.259
"May 1, 2011",5.132
"Jun 1, 2011",4.633
"Jul 1, 2011",0.569
"Aug 1, 2011",0.859
"Sep 1, 2011",0.453
"Oct 1, 2011",0.509
"Nov 1, 2011",0.48
"Dec 1, 2011",0.646
"Jan 1, 2012",0.825
"Feb 1, 2012",1.793
"Mar 1, 2012",4.975
"Apr 1, 2012",4.217
"May 1, 2012",3.845
"Jun 1, 2012",1.876
"Jul 1, 2012",0.564
"Aug 1, 2012",0.292
"Sep 1, 2012",0.301
"Oct 1, 2012",0.459
"Nov 1, 2012",0.428
"Dec 1, 2012",0.7
"Jan 1, 2013",0.851
"Feb 1, 2013",0.897
"Mar 1, 2013",1.671
"Apr 1, 2013",2.531
"May 1, 2013",1.387
"Jun 1, 2013",1.081
"Jul 1, 2013",0.405
"Aug 1, 2013",0.607
"Sep 1, 2013",0.367
"Oct 1, 2013",0.291
"Nov 1, 2013",0.283
"Dec 1, 2013",0.418
"Jan 1, 2014",0.321
"Feb 1, 2014",0.541
"Mar 1, 2014",0.907
"Apr 1, 2014",3.04
"May 1, 2014",2.303
"Jun 1, 2014",1.663
"Jul 1, 2014",0.73
"Aug 1, 2014",0.319
"Sep 1, 2014",0.309
"Oct 1, 2014",0.283
"Nov 1, 2014",0.404
"Dec 1, 2014",0.459
"Jan 1, 2015",0.486
"Feb 1, 2015",0.341
"Mar 1, 2015",0.43
"Apr 1, 2015",1.347
"May 1, 2015",2.567
"Jun 1, 2015",1.887
"Jul 1, 2015",0.598
"Aug 1, 2015",0.301
"Sep 1, 2015",0.224
"Oct 1, 2015",0.215
"Nov 1, 2015",0.286
"Dec 1, 2015",0.536
"Jan 1, 2016",0.621
"Feb 1, 2016",0.487
"Mar 1, 2016",0.739
"Apr 1, 2016",0.967
"May 1, 2016",1.852
"Jun 1, 2016",2.064
"Jul 1, 2016",1.043
"Aug 1, 2016",0.496
"Sep 1, 2016",0.417
"Oct 1, 2016",0.393
"Nov 1, 2016",0.369
"Dec 1, 2016",0.479
"Jan 1, 2017",0.672
"Feb 1, 2017",0.987
"Mar 1, 2017",1.428
"Apr 1, 2017",3.176
"May 1, 2017",2.14
"Jun 1, 2017",2.747
"Jul 1, 2017",2.188
"Aug 1, 2017",0.574
"Sep 1, 2017",0.388
"Oct 1, 2017",0.366
"Nov 1, 2017",0.357
"Dec 1, 2017",0.371
"Jan 1, 2018",0.381
"Feb 1, 2018",0.444
"Mar 1, 2018",1.086
"Apr 1, 2018",1.928
"May 1, 2018",1.356
"Jun 1, 2018",2.486
"Jul 1, 2018",0.713
"Aug 1, 2018",0.37
"Sep 1, 2018",0.34
"Oct 1, 2018",0.375
"Nov 1, 2018",0.433
"Dec 1, 2018",0.414
"Jan 1, 2019",0.552
"Feb 1, 2019",0.552
"Mar 1, 2019",0.62
"Apr 1, 2019",1.039
"May 1, 2019",1.864
"Jun 1, 2019",0.686
"Jul 1, 2019",0.743
"Aug 1, 2019",0.739
"Sep 1, 2019",0.362
"Oct 1, 2019",0.397
"Nov 1, 2019",0.428
"Dec 1, 2019",0.663
